"id"	"codigo_localidad"	"codigo_postal"	"nombre_localidad"	"nombre_localidad_resumido"	"id_departamento"	"id_provincia"	"ver"
2455	2455		EL PALENQUE ,AP.	EL PALENQUE ,AP.	266	7	v.1
4055	4055		NIQUIVIL NUEVO	NIQUIVIL NUEVO	460	17	v.1
5193	5193		ALTO DE MEDINA	ALTO DE MEDINA	564	23	v.1
2743	2743		EL BRETE	EL BRETE	291	9	v.1
2504	2504		LA CLARITA	LA CLARITA	268	7	v.1
2356	2356		SANTA LUCIA	SANTA LUCIA	248	6	v.1
1555	1555		COLONIA VIDELA	COLONIA VIDELA	226	5	v.1
2560	2560		PUEBLO ARRUA ,EST.ALCARAZ	PUEBLO ARRUA ,EST.AL	273	7	v.1
2002	2002		SAIRA	SAIRA	209	5	v.1
3843	3843		KILOMETRO 1448	KILOMETRO 1448	444	16	v.1
3006	3006		ANJULLON	ANJULLON	331	11	v.1
402	402		GOROSTIAGA	GOROSTIAGA	72	1	v.1
953	953		VILLA HARDING GREEN	VILLA HARDING GREEN	18	1	v.1
428	428		HIRSCH, MAURICIO	HIRSCH, MAURICIO	71	1	v.1
1814	1814		LEDESMA, ALEJO	LEDESMA, ALEJO	209	5	v.1
3578	3578		SANICO	SANICO	397	14	v.1
672	672		OLIVERA, NICANOR ,EST.LA DULCE	OLIVERA, NICANOR ,ES	99	1	v.1
4480	4480		CASAS	CASAS	523	20	v.1
178	178		CASARES, VICENTE	CASARES, VICENTE	27	1	v.1
4325	4325		BAJO FUEGO	BAJO FUEGO	498	19	v.1
872	872		SOSA, INOCENCIO	SOSA, INOCENCIO	11	1	v.1
1611	1611		EL FUERTECITO	EL FUERTECITO	210	5	v.1
4991	4991		LA AURORA	LA AURORA	528	21	v.1
516	516		LA PROVIDENCIA	LA PROVIDENCIA	77	1	v.1
158	158		CAN, ROBERTO	CAN, ROBERTO	87	1	v.1
1459	1459		BOUWER	BOUWER	214	5	v.1
5205	5205		BAJASTINE	BAJASTINE	572	23	v.1
5105	5105	4220	TERMAS DE RIO HONDO	TERMAS DE RIO HONDO	533	21	v.1
3081	3081		LOS SARMIENTOS	LOS SARMIENTOS	339	11	v.1
1168	1168		CHARATA	CHARATA	168	3	v.1
4248	4248		MOSMOTA	MOSMOTA	481	18	v.1
3352	3352		VILLA SECA	VILLA SECA	367	12	v.1
506	506		LA NEGRA	LA NEGRA	99	1	v.1
4697	4697		MOLINA, JUAN B.	MOLINA, JUAN B.	505	20	v.1
4335	4335		CAÑADON 11 DE SEPTIEMBRE	CAÑADON 11 DE SEPTIE	498	19	v.1
4131	4131		BALDE VIEJO	BALDE VIEJO	484	18	v.1
4763	4763	6100	RUFINO	RUFINO	502	20	v.1
1932	1932		PIEDRITAS ROSADAS	PIEDRITAS ROSADAS	217	5	v.1
2571	2571		ROCAMORA	ROCAMORA	261	7	v.1
4714	4714		OLIVEROS	OLIVEROS	510	20	v.1
2813	2813		PUESTO GRANDE	PUESTO GRANDE	297	9	v.1
1989	1989		RIO TERCERO	RIO TERCERO	211	5	v.1
5436	5436		VIPOS	VIPOS	565	23	v.1
4523	4523	2103	CORONEL BOGADO	CORONEL BOGADO	503	20	v.1
